babelstream-Copy-float64:
             N        Torch   cuTile-128   cuTile-256   cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192
0        128.0     0.500000     0.500000     0.500000     0.500000     0.500000     0.500000     0.500000     0.500000
1        256.0     1.000000     1.000000     1.000000     1.000000     1.000000     1.000000     1.000000     1.000000
2        512.0     2.000000     2.000000     2.000000     2.000000     2.000000     2.000000     2.000000     2.000000
3       1024.0     4.000000     4.000000     4.000000     4.000000     4.000000     4.000000     4.000000     4.000000
4       2048.0     8.000000     8.000000     8.000000     8.000000     8.000000     5.333333     8.000000     8.000000
5       4096.0    16.000000    16.000000    16.000000    16.000000    16.000000    15.753846    10.666666    10.666666
6       8192.0    32.000000    32.000000    32.000000    32.000000    32.000000    21.333333    21.333333    21.333333
7      16384.0    64.000000    64.000000    64.000000    64.000000    64.000000    42.666665    42.666665    42.666665
8      32768.0    86.687831   128.000000   128.000000   128.000000    85.780105    85.333330    85.333330    85.333330
9      65536.0   170.666661   256.000001   170.666661   170.666661   256.000001   170.666661   170.666661   170.666661
10    131072.0   341.333321   341.333321   341.333321   341.333321   341.333321   341.333321   341.333321   341.333321
11    262144.0   682.666643   682.666643   682.666643   682.666643   682.666643   682.666643   682.666643   512.000001
12    524288.0  1024.000003  1024.000003  1024.000003  1024.000003  1024.000003  1024.000003  1024.000003   826.952686
13   1048576.0  1166.380415  1170.285698  1170.285698  1372.481681  1365.333285  1365.333285  1365.333285  1170.285698
14   2097152.0  1260.307707  1365.333285  1260.307707  1260.307707  1367.113394  1260.307707  1365.333285  1260.307707
15   4194304.0  1310.720033  1312.360496  1310.720033  1311.539752  1424.695621  1310.720033  1311.539752  1261.065564
16   8388608.0  1424.211849  1422.280045  1424.695621  1424.211849  1396.239654  1365.333285  1394.846654  1364.001346
17  16777216.0  1440.351621  1440.351621  1440.351621  1440.351621  1424.695621  1421.436612  1424.695621  1424.211849
18  33554432.0  1456.355533  1452.321277  1458.000889  1450.187243  1447.934411  1441.960994  1448.309426  1436.528443

babelstream-Mul-float64:
             N        Torch   cuTile-128   cuTile-256   cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192
0        128.0     0.333333     0.500000     0.500000     0.500000     0.500000     0.342246     0.333333     0.333333
1        256.0     0.666667     1.000000     1.000000     1.000000     1.000000     0.969697     0.666667     0.666667
2        512.0     1.333333     2.000000     2.000000     2.000000     2.000000     2.000000     1.333333     1.333333
3       1024.0     2.666667     4.000000     4.000000     4.000000     4.000000     2.666667     2.666667     2.666667
4       2048.0     5.333333     8.000000     8.000000     8.000000     8.000000     8.000000     5.333333     4.015686
5       4096.0    10.666666    16.000000    16.000000    16.000000    16.000000    10.666666    10.666666     8.000000
6       8192.0    21.333333    32.000000    32.000000    32.000000    32.000000    21.333333    21.333333    16.000000
7      16384.0    42.010256    64.000000    64.000000    64.000000    43.574467    64.000000    42.666665    32.000000
8      32768.0    67.702481    86.687831   128.000000   128.000000   128.000000    85.333330    85.333330    64.000000
9      65536.0   128.000000   170.666661   170.666661   170.666661   170.666661   170.666661   170.666661   128.000000
10    131072.0   252.061538   341.333321   341.333321   341.333321   341.333321   341.333321   341.333321   256.000001
11    262144.0   408.323988   682.666643   682.666643   682.666643   682.666643   682.666643   682.666643   512.000001
12    524288.0   673.892042  1024.000003  1024.000003  1024.000003  1024.000003  1024.000003  1024.000003   819.200021
13   1048576.0   910.222190  1365.333285  1365.333285  1638.400041  1638.400041  1620.673932  1365.333285  1170.285698
14   2097152.0  1014.096754  1361.787041  1365.333285  1365.333285  1489.454534  1489.454534  1489.454534  1260.307707
15   4194304.0  1031.048238  1365.333285  1365.333285  1365.333285  1489.454534  1489.454534  1365.333285  1365.333285
16   8388608.0   992.734720  1424.211849  1424.695621  1424.695621  1424.211849  1456.355533  1394.382938  1365.333285
17  16777216.0   727.546241  1440.351621  1440.351621  1440.351621  1432.480902  1439.363040  1423.728406  1409.376308
18  33554432.0   729.888441  1456.355533  1456.355533  1450.312635  1444.319562  1444.319562  1446.810647  1432.480902

babelstream-Add-float64:
             N        Torch   cuTile-128   cuTile-256   cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192
0        128.0     0.500000     0.813559     0.813559     0.750000     0.813559     0.680851     0.527473     0.527473
1        256.0     1.000000     1.627119     1.627119     1.500000     1.627119     1.352113     1.000000     1.054945
2        512.0     1.560976     3.254237     3.254237     3.254237     3.254237     2.704225     2.000000     2.109890
3       1024.0     4.000000     6.508474     6.000000     5.446809     6.508474     5.408451     4.219780     4.219780
4       2048.0     8.000000    13.016949    13.016949    12.000000    10.893617     8.000000     8.000000     8.439560
5       4096.0    15.999999    21.787235    21.787235    26.033898    26.033898    15.999999    15.999999    12.487804
6       8192.0    31.346940    43.574469    45.850746    46.722434    52.067795    31.999999    33.758241    19.200000
7      16384.0    50.776861    86.535209   104.135590    86.535209    86.535209    63.999998    67.516482    38.400001
8      32768.0    96.000000   208.271180   206.521014   138.067414   135.032965   135.032965   135.032965    76.800002
9      65536.0   192.000000   270.065929   255.999991   270.065929   255.999991   255.999991   199.804870   153.600004
10    131072.0   369.563926   479.531698   540.131858   511.999982   511.999982   470.354055   384.000001   295.207204
11    262144.0   510.670140   799.219478   802.481623   768.000002   802.481623   799.219478   799.219478   525.689846
12    524288.0   858.550228  1268.438697  1268.438697  1180.828816  1221.167675  1180.828816  1180.828816   877.714274
13   1048576.0  1010.838063  1389.455824  1389.455824  1389.455824  1389.455824  1401.839516  1389.455824  1133.187340
14   2097152.0  1032.740674  1215.505449  1242.388648  1278.751165  1243.370781  1305.281351  1377.289009  1228.800031
