dot_product-float32:
              N        Torch  cuTile-128  cuTile-256  cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192  cuTile-Atomic-128  cuTile-Atomic-256  cuTile-Atomic-512  cuTile-Atomic-1024  cuTile-Atomic-2048  cuTile-Atomic-4096  cuTile-Atomic-8192
0         128.0     0.166667    0.250000    0.250000    0.250000     0.250000     0.250000     0.166667     0.166667           0.166667           0.166667           0.166667            0.166667            0.166667            0.125000            0.083117
1         256.0     0.333333    0.500000    0.500000    0.500000     0.500000     0.335079     0.333333     0.333333           0.333333           0.333333           0.333333            0.333333            0.333333            0.250000            0.142857
2         512.0     0.666667    1.000000    1.000000    1.000000     1.000000     0.670157     0.666667     0.666667           0.666667           0.666667           0.666667            0.666667            0.666667            0.500000            0.285714
3        1024.0     1.333333    2.000000    2.000000    2.000000     2.000000     1.333333     1.333333     1.333333           1.333333           1.333333           1.333333            1.333333            1.333333            1.000000            0.664935
4        2048.0     2.666667    4.000000    4.000000    4.000000     4.000000     2.666667     2.666667     2.666667           2.666667           2.666667           2.666667            2.666667            2.000000            2.000000            1.329870
5        4096.0     5.333333    8.000000    8.000000    8.000000     8.000000     5.333333     5.333333     5.333333           5.333333           5.333333           5.333333            5.333333            4.000000            3.200000            2.285714
6        8192.0    10.666666   16.000000   16.000000   16.000000    16.000000    10.666666    10.666666     8.000000          10.666666          10.666666          10.666666           10.666666            8.000000            6.400000            4.571429
7       16384.0    16.925620   32.000000   32.000000   32.000000    32.000000    21.333333    21.333333    16.000000          21.333333          21.333333          21.333333           21.222798           16.000000           12.800000            9.122494
8       32768.0    32.000000   42.666665   45.765364   64.000000    64.000000    42.666665    42.666665    32.000000          42.666665          42.666665          42.666665           42.666665           32.000000           25.600001           18.285714
9       65536.0    51.200001   64.250982   85.333330   85.333330   128.000000    85.333330    85.333330    64.000000          85.333330          85.333330          85.333330           64.250982           64.000000           51.200001           36.571428
10     131072.0   102.400003  102.400003  128.000000  170.666661   170.666661   170.666661   129.007867   128.000000         128.000000         167.183679         170.666661          128.501965          128.000000          102.400003           73.142856
11     262144.0   204.800005  128.000000  204.800005  256.000001   256.000001   341.333321   256.000001   205.441998         204.800005         256.000001         256.000001          256.000001          256.000001          204.800005          146.285712
12     524288.0   341.333321  157.538463  256.000001  341.333321   409.600010   510.007768   512.000001   409.600010         328.501256         409.600010         410.883995          512.000001          409.600010          409.600010          292.571425
13    1048576.0   585.142849  170.666661  292.571425  450.806532   585.142849   682.666643   682.666643   819.200021         409.600010         585.142849         682.666643          682.666643          682.666643          682.666643          585.142849
14    2097152.0   819.200021  170.722235  315.076927  512.000001   726.160639   910.222190   910.222190   819.200021         511.500485         744.727267         910.222190          910.222190          819.200021         1024.000003          630.153853
15    4194304.0  1023.000971  178.086953  321.353362  546.133347   810.336966  1024.000003  1092.266694  1170.285698         560.585928         819.200021         862.315828          909.432746          963.764689         1092.266694          862.315828
16    8388608.0  1259.550759  189.376196  356.173905  630.343261   910.617426  1100.289634  1249.792632  1261.065564         618.264154         910.617426        1170.285698         1092.835884         1091.698097         1170.285698          912.201810
17   16777216.0  1394.382938  190.252383  364.088883  655.360017   992.969689  1170.285698  1337.896060  1396.239654         642.608232         993.204879        1337.469431         1311.129764         1260.686521         1236.163870         1024.000003
18   33554432.0  1473.495219  191.067060  369.216905  672.217977  1083.239694  1213.629628  1409.376308  1489.454534         667.033088        1092.266694        1440.104406         1379.932236         1379.705219         1364.445071         1065.625971
19   67108864.0  1524.093023  193.535629  375.027168  708.527236  1219.274460  1354.749328  1448.309426  1533.005786         687.168397        1187.683421        1480.908833         1515.146420         1476.867620         1476.997669         1106.092826
20  134217728.0  1555.822872  196.032156  380.880535  728.683801  1310.720033  1483.199886  1485.235084  1555.750719         697.655339        1205.259785        1487.341816         1546.501015         1542.023535         1533.005786         1129.931006
21  268435456.0  1577.955304  196.712496  383.041460  737.395217  1355.625062  1560.489774  1563.871777  1570.918756         702.328217        1188.188067        1548.856779         1555.173870         1564.218050         1565.038854         1144.109119
22  536870912.0  1597.811126  195.620730  384.410596  740.389047  1364.445071  1603.327281  1607.628930  1607.012976         683.222681        1179.998293        1551.730760         1579.180742         1605.129610         1607.628930         1149.124356

