norm1-float16:
              N        Torch  cuTile-128  cuTile-256  cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192  cuTile-Atomic-128  cuTile-Atomic-256  cuTile-Atomic-512  cuTile-Atomic-1024  cuTile-Atomic-2048  cuTile-Atomic-4096  cuTile-Atomic-8192
0        1024.0     0.500000    0.500000    0.500000    0.500000     0.500000     0.500000     0.500000     0.500000           0.351648           0.351648           0.351648            0.351648            0.333333            0.333333            0.250000
1        2048.0     1.000000    1.000000    1.000000    1.000000     1.084746     1.000000     1.000000     1.000000           0.703297           0.703297           0.703297            0.666667            0.666667            0.666667            0.500000
2        4096.0     1.333333    2.000000    2.000000    2.000000     2.000000     2.000000     1.406593     1.406593           1.406593           1.406593           1.406593            1.333333            1.406593            1.057851            1.000000
3        8192.0     2.666667    4.000000    4.000000    4.000000     4.000000     4.000000     2.813187     2.666667           2.860335           2.813187           2.813187            2.813187            2.680628            2.652850            1.667752
4       16384.0     4.000000    8.605042    8.000000    8.000000     8.000000     8.000000     5.626374     5.333333           5.720671           5.626374           5.626374            5.333333            5.333333            5.251282            3.346405
5       32768.0     5.333333   10.666666   16.000000   16.000000    16.000000    16.000000    11.252747    10.666666          11.252747          11.314917          11.252747           10.722513           10.666666            8.462810            6.692810
6       65536.0     7.098786   21.333333   21.389034   32.000000    32.000000    32.000000    22.505494    21.333333          22.505494          22.505494          22.505494           21.333333           21.445026           16.855967           13.363784
7      131072.0    26.425806   26.425806   42.010256   42.890053    63.503880    63.503880    42.666665    42.666665          42.666665          42.890053          45.010988           45.010988           42.890053           33.300812           26.511327
8      262144.0    52.851612   36.571428   52.851612   67.702481    85.333330    90.021976    85.333330    84.020513          85.333330          85.333330          85.333330           90.021976           85.333330           66.601623           52.851612
9      524288.0   105.703225   42.666665   73.142856  102.400003   133.203246   170.666661   170.666661   135.404962         107.084967         170.666661         170.666661          170.666661          170.666661          133.203246          105.703225
10    1048576.0   210.726681   44.826267   78.769232  130.549806   204.800005   256.000001   260.063494   256.000001         170.666661         205.441998         256.000001          266.406493          266.406493          266.406493          211.406450
11    2097152.0   421.453362   47.627907   89.043476  157.728042   256.000001   350.459897   353.293799   354.248654         204.800005         299.251150         350.459897          422.812899          422.812899          410.883995          355.208685
12    4194304.0   682.666643   48.761905   93.090908  171.785061   292.571425   416.101571   463.151941   522.199223         229.548168         377.729113         512.000001          585.142849          599.871840          585.142849          587.766828
13    8388608.0   910.222190   48.761905   94.398273  182.044442   315.076927   510.504372   583.190226   630.153853         249.423413         435.817137         591.747182          755.458227          755.458227          637.819973          630.153853
14   16777216.0  1103.764192   49.053891   95.900495  186.645783   328.707202   546.133347   647.269138   687.140246         260.063494         481.660991         681.335950          907.858050          910.222190          868.745655          862.315828
15   33554432.0  1310.720033   49.648483   97.569185  192.752942   356.173905   630.153853   783.103837   865.876118         271.195139         513.253070         780.190482          968.214237          992.969689          991.092606          963.764689
16   67108864.0  1400.435398   49.826605   98.025243  193.893484   362.390181   650.279668   831.213672   925.894916         275.361352         528.516136         820.803164         1040.253977         1073.535656         1072.986388         1042.840406
17  134217728.0  1382.661643   49.733259   98.121555  195.142903   369.737666   679.129534   885.621583  1017.417625         278.284497         541.480001         863.469671         1139.292144         1159.929184         1151.332408         1140.608878

