norm2-float32:
             N        Torch  cuTile-128  cuTile-256  cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192  cuTile-Atomic-128  cuTile-Atomic-256  cuTile-Atomic-512  cuTile-Atomic-1024  cuTile-Atomic-2048  cuTile-Atomic-4096  cuTile-Atomic-8192
0    1048576.0   394.201504   89.043476  157.538463  256.500983   342.224538   422.812899   424.181236   512.000001         231.575971         342.224538         409.600010          512.000001          512.000001          512.000001          409.600010
1    2097152.0   682.666643   95.255814  171.785061  295.873591   452.753034   585.142849   682.666643   682.666643         291.595113         455.111095         585.142849          682.666643          806.596921          811.591367          700.919794
2    4194304.0   926.303883   96.376471  182.107674  327.066753   517.049290   744.727267   903.944839   926.303883         315.076927         551.882096         819.200021          910.222190          757.641649          814.111783          926.303883
3    8388608.0  1153.548961   97.523810  186.512986  341.333321   568.026011   819.200021  1024.000003  1093.405601         334.367358         630.153853         963.764689         1020.015537          918.192673         1020.015537         1111.368280
4   16777216.0  1318.134500   98.763869  191.625723  364.088883   645.476135   915.387174  1129.931006  1260.307707         341.889787         658.446460        1063.464441         1170.285698         1092.266694         1057.032272         1212.226577
5   33554432.0  1449.811314   98.698796  192.841569  372.231448   676.718924   992.969689  1173.560166  1365.333285         348.479883         682.666643        1149.754364         1365.333285         1236.528308         1240.184540         1218.565986
6   67108864.0  1509.013801   99.409933  194.531975  380.470242   708.258030  1096.836816  1204.740457  1432.480902         350.459897         694.076435        1182.493375         1455.850026         1367.670656         1368.451525         1350.605049
7  134217728.0  1479.341860  100.086597  195.995506  389.167751   736.682893  1237.714237  1352.346936  1476.867620         351.708863         699.983980        1282.956014         1499.706418         1472.719084         1472.719084         1450.061873
8  268435456.0  1537.501438  100.179227  196.692908  393.521902   753.828901  1322.889526  1483.265466  1498.835588         352.499535         703.270315        1343.144356         1546.429723         1540.466100         1540.607525         1525.062787
9  536870912.0  1560.707575  100.402176  197.137800  396.041661   763.433574  1369.792278  1558.062402  1565.038854         352.877680         704.799207        1376.084023         1566.171046         1566.207675         1566.097930         1565.221342

