stencil1d-float32:
              N   cuTile-128   cuTile-256   cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192
0        1024.0     4.000000     4.000000     4.000000     4.031496     4.000000     4.000000     2.666667
1        2048.0     8.677966     8.000000     8.000000     8.126984     8.000000     5.446808     5.333333
2        4096.0    16.000000    16.000000    16.000000    16.000000    16.000000    10.722513    11.252747
3        8192.0    32.000000    32.000000    32.000000    32.000000    31.751940    21.445026    20.897960
4       16384.0    64.000000    64.000000    64.000000    64.000000    43.343916    42.666665    32.000000
5       32768.0   128.000000   128.000000   128.000000   127.007759    85.780105    85.780105    67.423868
6       65536.0   171.560210   171.560210   254.015518   171.560210   171.560210   170.666661   134.847735
7      131072.0   341.333321   341.333321   341.333321   341.333321   341.333321   360.087905   266.406493
8      262144.0   686.240841   682.666643   682.666643   682.666643   682.666643   720.175811   532.812985
9      524288.0  1028.015720  1351.257781  1358.259068  1358.259068  1337.469431  1337.469431   829.569645
10    1048576.0  1638.400041  2048.000005  2040.031073  2024.278046  2040.031073  2024.278046  1691.251596
11    2097152.0  2044.007772  2052.007864  2056.031439  2036.069818  2036.069818  2052.007864  1823.610394
12    4194304.0  2730.666570  2777.684818  2732.445519  2730.666570  2730.666570  2551.279890  2375.030654
13    8388608.0  2748.560983  2738.690137  2734.226788  2730.666570  2730.666570  2621.440066  2520.615413
14   16777216.0  2845.525009  2843.595937  2845.525009  2797.601454  2800.870796  2742.271322  2726.229521
15   33554432.0  2917.776690  2885.658050  2885.658050  2849.391241  2855.696438  2854.238830  2847.456813
16   67108864.0  2928.983320  2912.963989  2899.121449  2872.810845  2883.178633  2864.961804  2864.228190
17  134217728.0  2928.855459  2922.223675  2920.824530  2901.753869  2916.762156  2905.774516  2900.499873

