vecadd-float64:
              N        Torch   cuTile-128   cuTile-256   cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192  cuTile-Gather-128  cuTile-Gather-256  cuTile-Gather-512  cuTile-Gather-1024  cuTile-Gather-2048  cuTile-Gather-4096  cuTile-Gather-8192
0        1024.0     6.000000     6.000000     6.508474     6.000000     6.000000     5.953489     4.063492     3.918367           6.508474           6.047244           6.047244            4.290503            4.020942            4.000000            3.000000
1        2048.0    12.000000    12.000000    12.000000    12.000000    12.000000     8.000000     7.958549     8.000000          12.000000          12.000000          12.000000            8.000000            7.876923            6.000000            5.976654
2        4096.0    23.272727    24.000000    24.000000    24.000000    23.813955    15.999999    15.917098    12.047059          24.000000          24.000000          24.000000           16.168421           12.047059            9.660377            9.630094
3        8192.0    47.627910    48.000000    48.000000    48.000000    32.680850    31.999999    31.670104    19.140187          48.000000          48.000000          48.000000           33.758241           25.600001           19.200000           14.288373
4       16384.0    86.535209    65.361700    65.015874    64.335079    64.335079    67.516482    48.569169    38.400001          65.361700          65.015874          65.015874           63.999998           48.000000           38.280374           28.313365
5       32768.0   127.999995   127.999995   127.999995   127.999995   135.032965   129.688653    96.376474    77.283017         186.181817         127.999995         127.999995          129.347364           96.000000           76.560748           56.496552
6       65536.0   255.999991   271.558017   255.999991   255.999991   255.999991   270.065929   202.271603   153.121496         255.999991         255.999991         255.999991          270.065929          191.252913          158.554837          109.714284
7      131072.0   511.999982   522.893602   514.680630   540.131858   511.999982   504.123076   399.609739   306.242991         511.999982         540.131858         514.680630          501.551037          308.162996          306.242991          219.428568
8      262144.0   768.000002   768.000002   768.000002   765.011652   768.000002   768.000002   759.104267   527.099213         768.000002         768.000002         799.219478          768.000002          614.400016          510.670140          384.000001
9      524288.0  1228.800031  1068.521715  1224.971964  1224.971964  1224.971964  1224.971964  1023.999964   897.753449        1062.745962        1224.971964        1224.971964         1021.340281         1051.379691          879.677855          624.152357
10    1048576.0  1365.333285  1351.257714  1365.333285  1367.707796  1367.707796  1367.707796  1367.707796  1048.575991        1358.259103        1365.333285        1367.707796         1248.304714         1228.800031         1023.999964         1112.350733
11    2097152.0  1228.800031  1181.715997  1238.475583  1244.354468  1240.429029  1293.473742  1369.494106  1225.926743        1181.715997        1228.800031        1242.879520         1293.473742         1241.408065         1228.800031         1181.715997
12    4194304.0  1404.970043  1404.342820  1404.342820  1403.716156  1404.970043  1404.342820  1404.970043  1373.080761        1404.342820        1404.342820        1403.090051         1365.926139         1328.993609         1361.492378         1293.473742
13    8388608.0  1445.647033  1433.459973  1445.647033  1446.976986  1447.143441  1445.979370  1445.979370  1425.018393        1434.440459        1445.647033        1450.312597         1435.094938         1369.792348         1369.494106         1384.563337
14   16777216.0  1477.387831  1467.223862  1476.001416  1478.255705  1480.516728  1480.516728  1477.561357  1466.710823        1468.079832        1469.708833        1479.994352         1472.202236         1455.597463         1424.373145         1434.603966
15   33554432.0  1495.117902  1496.006738  1496.362468  1500.555971  1501.719971  1501.227315  1500.555971  1488.485481        1493.432038        1496.273478        1499.125752         1490.424932         1479.385353         1466.881849         1465.600441
16   67108864.0  1505.808486  1504.233413  1506.574665  1509.919324  1509.421190  1508.471210  1504.143485  1500.824503        1504.233413        1505.132955        1509.330640         1503.694003         1500.019361         1487.913470         1484.775047
17  134217728.0  1511.597145  1514.553696  1513.096683  1513.096683  1514.781576  1513.051270  1510.417619  1510.191050        1513.096683        1513.096683        1513.437871         1508.742414         1508.968549         1500.108797         1497.252785

